OID_,VehicleMeters_EngineSeconds,SpinnerDialSetting,OBDIIMessages,Temperatures_RoadTemp,VDTMessages,LiquidSetting,ReportTime,UnloadFunction,LiquidRateIndex,PrewetRateIndex,UnitsOfMeasure,SpeedMetersPerSecond,SpreaderStatus,Location_Longitude,LiquidMode,PositionId,GranularMode,GranularSetting,objectid_1,globalid,ControllerDistance,GranularTotal,InputStatuses,PrewetMode,LiquidTotal,VehicleMeters_IdleSeconds,IgnitionStatusOn,GateSetting,CANMessages,PrewetTotal,SpreaderInfo,GranularRateIndex,HeadingDegrees,VehicleId,Location_Latitude,VehicleMeters_OdometerMeters,PrewetMaterial,ErrorStatus,DriverId,GranularMaterial,Temperatures_AirTemp,PrewetSetting
7428,1149660.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,,E,11.000000000000000,O,-88.071370000000002,,,M,0,333122,{B90D28BC-42EE-0B0B-A182-259813609907},,,,,,559021.000000000000000,true,,,,,0,346.000000000000000,H81,41.776919999999997,6580179.000000000000000,,,,SALT,0.000000000000000,
7429,1510408.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,0,E,12.000000000000000,O,-88.071280000000002,,,C,0,332586,{71D041E6-2BCE-8570-AFEA-C6A657E6F4C9},,,,C,,580227.000000000000000,true,,,,1,0,344.000000000000000,H_60,41.776679999999999,6749363.000000000000000,PWT1,0,,SALT,0.000000000000000,0
7430,1149660.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,,E,11.000000000000000,O,-88.071370000000002,,,M,0,333074,{EF53961F-8DAC-95A8-CA36-47C57A560DCC},,,,,,559021.000000000000000,true,,,,,0,346.000000000000000,H81,41.776919999999997,6580179.000000000000000,,,,SALT,0.000000000000000,
7431,1149660.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,,E,11.000000000000000,O,-88.071370000000002,,,M,0,332901,{F93AD89F-83AA-FF68-8BEF-4C2DA9AA01FC},,,,,,559021.000000000000000,true,,,,,0,346.000000000000000,H81,41.776919999999997,6580179.000000000000000,,,,SALT,0.000000000000000,
7432,1424753.000000000000000,0.000000000000000,,28.000000000000000,,,1612493969000,,,,E,1.000000000000000,O,-88.146050000000002,,,M,0,332572,{2BAD4E0E-9941-9E73-1EC6-98C9F6232CEA},,,,,,714783.000000000000000,true,,,,,0,12.000000000000000,JHJW4376,41.865499999999997,8482428.000000000000000,,,,SALT,27.000000000000000,0
7433,1149660.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,,E,11.000000000000000,O,-88.071370000000002,,,M,0,332625,{93A45ECB-5B87-8D98-E819-D70D85BB0DD0},,,,,,559021.000000000000000,true,,,,,0,346.000000000000000,H81,41.776919999999997,6580179.000000000000000,,,,SALT,0.000000000000000,
7434,1149660.000000000000000,0.000000000000000,,0.000000000000000,,,1612493969000,,,,E,11.000000000000000,O,-88.071370000000002,,,M,0,332854,{17C8B76A-55D9-3049-C550-8C9EE74AA731},,,,,,559021.000000000000000,true,,,,,0,346.000000000000000,H81,41.776919999999997,6580179.000000000000000,,,,SALT,0.000000000000000,
7435,1248328.000000000000000,4.000000000000000,,28.000000000000000,,0,1612493973000,,0,0,E,14.000000000000000,S,-88.160920000000004,C,,C,300,332594,{22859A72-BFD5-620B-DADE-B92655E26727},,,,C,,691228.000000000000000,true,,,,1,5,240.000000000000000,LL450322,41.811470000000000,3207985.000000000000000,PWT1,0,,SALT,24.000000000000000,0
7436,212877.000000000000000,0.000000000000000,,28.000000000000000,,,1612493982000,,,,E,12.000000000000000,O,-88.077200000000005,,,C,0,332574,{99127E15-1541-59CF-ADD7-E2B7C897A0AC},,,,,,127697.000000000000000,true,,,,,0,358.000000000000000,H 66,41.797550000000001,991214.000000000000000,,,,SALT,29.000000000000000,0
7437,212877.000000000000000,0.000000000000000,,28.000000000000000,,,1612493982000,,,,E,12.000000000000000,O,-88.077200000000005,,,C,0,332627,{567E3C24-C779-002A-9676-AED5507F349C},,,,,,127697.000000000000000,true,,,,,0,358.000000000000000,H 66,41.797550000000001,991214.000000000000000,,,,SALT,29.000000000000000,0
7438,686755.000000000000000,5.000000000000000,,27.000000000000000,,,1612493982000,,,,E,14.000000000000000,S,-88.151719999999997,,,C,250,332601,{72C02A95-3550-31EA-735E-3CA00A39219A},,,,,,348338.000000000000000,true,,,,,4,180.000000000000000,JHJW4378,41.960619999999999,4237784.000000000000000,,,,SALT,24.000000000000000,0
7439,665827.000000000000000,4.000000000000000,,24.000000000000000,,,1612493987000,,,,E,13.000000000000000,S,-88.143069999999994,,,C,550,332623,{37D79028-529E-1644-5C19-1658CE15B3C7},,,,,,387572.000000000000000,true,,,,,A,166.000000000000000,H85,41.864600000000003,3353925.000000000000000,,,,SALT,25.000000000000000,17.0
7440,959066.000000000000000,0.000000000000000,,27.000000000000000,,,1612493989000,,,,E,12.000000000000000,O,-88.121319999999997,,,C,0,332619,{6E48C0E0-7C06-D239-32EB-91B58AD747EF},,,,,,397477.000000000000000,true,,,,,0,174.000000000000000,H78,41.880920000000003,5988805.000000000000000,,,,SALT,27.000000000000000,0
7441,348517.000000000000000,0.000000000000000,,27.000000000000000,,,1612493989000,,,,E,15.000000000000000,O,-88.145600000000002,,,C,0,332602,{CB2043E2-6A3F-DC74-68C7-A5302BC9AA12},,,,,,222643.000000000000000,true,,,,,0,262.000000000000000,74,41.857419999999998,1440462.000000000000000,,,,SALT,28.000000000000000,0
7442,5046232.000000000000000,0.000000000000000,,24.000000000000000,,0,1612493993000,,0,,E,14.000000000000000,O,-88.163470000000004,C,,C,0,332566,{A898B943-C155-ED0F-7853-E341D85A998D},,,,,,2782688.000000000000000,true,,,,1,0,268.000000000000000,TRUCK 1,41.810929999999999,18093675.000000000000000,,0,,SALT,23.000000000000000,
7443,7155051.000000000000000,0.000000000000000,,0.000000000000000,,,1612493994000,,,0,E,13.000000000000000,O,-88.077320000000000,,,C,0,332632,{4BC0B63A-B870-559D-57CD-E018A50C5384},,,,C,,771789.000000000000000,true,,,,1,0,356.000000000000000,H 69,41.799399999999999,41263246.000000000000000,PWT1,0,,SALT,0.000000000000000,0
7444,1006729.000000000000000,2.000000000000000,,27.000000000000000,,,1612493995000,,,,E,11.000000000000000,S,-88.121279999999999,,,C,250,332615,{0216853F-E757-6B80-A562-A89587E956E3},,,,,,585095.000000000000000,true,,,,,4,174.000000000000000,99,41.880679999999998,5584574.000000000000000,,,,SALT,26.000000000000000,0
